# HEADER
# ======
# label             si-sextupole-s15-sdp2-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     2 normal
# rescaling factor  1.003760
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 -5.1488e-06 -4.7696e-07  -2.0051e-04 -1.1256e-04  +2.3696e+00 +9.9499e-04  -4.4413e-01 -1.0472e-01  +1.3116e+01 -5.7395e+00  +2.1200e+02 -3.2675e+02  +2.3699e+04 +2.2517e+04  -1.3620e+06 -1.2855e+06  +5.5716e+08 +1.6796e+08  +2.8173e+10 -2.5233e+09  +7.4553e+11 -1.9256e+12  +1.3316e+14 +1.6965e+14  +1.2452e+15 +9.5585e+15  +1.3561e+17 -1.3145e+16  +3.1379e+20 -5.0991e+19  
+129.9960 -1.3514e-05 +5.0263e-06  -1.1300e-02 -1.6173e-02  +2.9012e+02 +5.2021e-02  +6.9350e+00 +2.7914e+00  +6.9849e+02 -1.3906e+02  -1.8735e+03 -8.6281e+02  +1.5832e+06 +1.0683e+05  +4.6654e+07 +3.7191e+07  -1.8281e+11 +2.9778e+10  -4.3523e+10 -9.9067e+10  -4.1025e+12 -3.0809e+12  -9.8327e+13 -6.5878e+14  -1.1569e+17 +3.8133e+16  -1.7087e+19 -1.3647e+19  +4.2430e+22 -2.1963e+21  
+149.9971 -1.8347e-05 +4.0760e-06  -1.2813e-02 -1.8253e-02  +3.3050e+02 +4.8312e-02  +7.9495e+00 +2.7044e+00  +7.4144e+02 -1.3659e+02  -1.9710e+03 -4.4233e+02  +1.7626e+06 +8.2833e+04  +5.6484e+07 +4.3370e+07  -2.0967e+11 +3.5109e+10  -3.1860e+10 -1.0940e+11  -3.1876e+12 -1.0456e+12  -3.0628e+14 -1.1992e+15  -1.4558e+17 +3.9757e+16  -1.8788e+19 -1.5042e+19  +4.8374e+22 -2.5180e+21  
+167.7982 -2.4750e-05 +3.8129e-06  -1.4097e-02 -1.9631e-02  +3.5973e+02 +4.2772e-02  +7.8335e+00 +2.2154e+00  +7.1718e+02 -1.3640e+02  -2.0921e+03 -1.9639e+02  +1.8260e+06 +2.0395e+05  +5.5745e+07 +4.9571e+07  -2.2830e+11 +4.0825e+10  -3.4793e+10 -1.3712e+11  +2.6447e+12 -1.6870e+12  -6.0289e+13 -9.8818e+14  -1.6002e+17 +3.7287e+16  -2.0249e+19 -1.7192e+19  +5.2921e+22 -3.0942e+21  
+180.0000 -3.0283e-05 +3.9496e-06  -1.4943e-02 -2.0318e-02  +3.7611e+02 +3.7757e-02  +7.1997e+00 +1.6564e+00  +6.6655e+02 -1.3737e+02  -2.1937e+03 -9.7598e+01  +1.8173e+06 +3.6449e+05  +5.0075e+07 +5.4202e+07  -2.3820e+11 +4.5271e+10  -4.4047e+10 -1.6620e+11  +9.3722e+12 -3.4611e+12  +3.4283e+14 -4.6709e+14  -1.6330e+17 +3.3464e+16  -2.1223e+19 -1.9161e+19  +5.5634e+22 -3.6469e+21  

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    S15-252 S15-199 S15-088 S15-024 S15-079 S15-191 S15-025 S15-014 S15-161 S15-028 
# 5. last data point was extrapolated from a quadratic fitting using last 3 points.
# 6. rescaling factor based on new measurements compared to previous ones
#    === S15 ===
#    Family          Current[A] GL2020[T/m] GL2019[T/m] Diff[%]
#    SI-Fam:PS-SFA0   034.98     -79.16832   -78.79904  +0.469
#    SI-Fam:PS-SFB0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFP0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFA2   100.28    -226.93267  -226.12582  +0.357
#    SI-Fam:PS-SFA1   128.48    -288.11642  -287.21829  +0.313
#    SI-Fam:PS-SFB2   132.81    -297.45731  -296.61973  +0.282
#    SI-Fam:PS-SFP2   133.33    -298.58556  -297.76223  +0.277
#    SI-Fam:PS-SFB1   155.22    -344.48435  -351.10163  -1.885
#    SI-Fam:PS-SFP1   156.53    -346.61199  -354.72640  -2.288
#    SI-Fam:PS-SDB0   043.18     +97.72405   +97.30107  +0.435
#    SI-Fam:PS-SDP0   043.18     +97.72405   +97.30107  +0.435
#    SI-Fam:PS-SDA0   053.72    +121.71106  +121.21016  +0.413
#    SI-Fam:PS-SDA2   059.29    +134.38117  +133.83979  +0.404
#    SI-Fam:PS-SDB2   081.57    +184.93776  +184.24588  +0.376
#    SI-Fam:PS-SDP2   081.55    +184.89068  +184.19894  +0.376
#    SI-Fam:PS-SDA3   093.40    +211.57649  +210.80689  +0.365
#    SI-Fam:PS-SDB1   094.58    +214.22775  +213.45115  +0.364
#    SI-Fam:PS-SDP1   095.00    +215.17967  +214.40061  +0.363
#    SI-Fam:PS-SDA1   109.04    +246.21948  +245.37664  +0.343
#    SI-Fam:PS-SDB3   116.56    +262.52284  +261.65091  +0.333
#    SI-Fam:PS-SDP3   116.79    +263.03286  +262.15994  +0.333

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
