# HEADER
# ======
# label             si-quadrupole-q20-q1-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     1 normal
# rescaling factor  1.002908
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 +4.7431e-06 +3.6764e-06  -3.7013e-02 +4.6872e-06  -7.7692e-04 -4.0979e-03  +1.9430e-02 +4.4833e-02  -3.1757e+00 +5.7055e+00  -3.0336e+03 -1.7295e+02  +1.3610e+03 +4.1829e+03  -2.1379e+06 +2.4036e+05  +1.4484e+08 +6.9263e+07  -1.0022e+11 -3.0049e+09  +3.3125e+11 +2.6036e+11  +4.0624e+12 -4.9445e+13  -2.9144e+15 +3.1072e+15  +3.9198e+18 +1.1455e+17  +2.2639e+19 -3.2246e+19  
+129.9963 +4.2975e-05 +3.2252e-05  -7.6427e+00 -1.5071e-03  -1.1830e-01 -7.8084e-02  -8.3465e+00 +2.2012e+00  -6.2139e+01 +6.3934e+01  +3.0602e+05 -3.0379e+04  -2.1610e+05 +7.4141e+04  +1.2271e+07 +8.5336e+06  +1.6512e+09 +8.2258e+08  -3.0048e+13 +6.1296e+11  +5.4438e+12 -2.5250e+12  -1.6533e+14 -1.0286e+15  -4.8007e+16 -2.8458e+16  +6.1034e+20 -1.0435e+19  -1.6550e+19 +1.2347e+20  
+157.4324 +5.1740e-05 +3.4421e-05  -9.0995e+00 -1.7346e-03  -1.3390e-01 -8.4598e-02  -9.6327e+00 +2.6198e+00  -6.4351e+01 +7.2294e+01  +3.8046e+05 -3.8952e+04  -2.7197e+05 +9.4287e+04  +1.5157e+07 +1.0772e+07  +1.6779e+09 +8.7779e+08  -3.5686e+13 +7.2525e+11  +5.8304e+12 -3.8721e+12  -2.1544e+14 -1.0985e+15  -4.1350e+16 -4.2053e+16  +7.2511e+20 -1.2795e+19  -5.3847e+18 +1.8431e+20  

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    Q20-030 Q20-132 Q20-013 Q20-014 Q20-027 Q20-008 Q20-029 Q20-023 Q20-149 Q20-028 
#    Q20-036 Q20-033 Q20-020 Q20-015 Q20-125 Q20-153 Q20-025 Q20-067 Q20-035 Q20-141 
#    Q20-119 Q20-012 Q20-111 Q20-006 Q20-164 Q20-024 Q20-010 Q20-032 Q20-011 Q20-005 
#    Q20-039 Q20-109 Q20-016 Q20-009 Q20-026 Q20-037 Q20-038 Q20-017 Q20-007 Q20-021 

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
