# HEADER
# ======
# label             si-sextupole-s15-sfa2-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     2 normal
# rescaling_factor  1.00373
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 +6.1948e-06 +2.5469e-06  -3.0398e-05 -1.2614e-05  -2.3119e+00 -1.4489e-03  -2.9758e-01 +5.8694e-01  -3.7064e+00 -1.1211e+00  -6.8795e+01 -5.9923e+01  -4.5081e+02 +1.5247e+02  -7.0777e+05 -1.1139e+06  -5.7287e+08 +1.9034e+07  +8.9172e+09 -3.5566e+09  -1.7187e+11 +6.7022e+11  -5.2895e+12 -9.5662e+13  -3.0967e+14 -2.6853e+15  +5.7107e+16 +2.7463e+17  -3.4737e+20 -1.7124e+19
+129.9966 +8.7401e-06 +3.7242e-06  +5.4546e-03 +1.4560e-02  -2.9037e+02 -4.7304e-02  -5.5314e+00 -4.2543e+00  -2.9125e+02 +6.4666e+01  +1.3331e+04 +2.1124e+03  -7.7450e+05 -3.1626e+04  -7.2596e+06 -2.8435e+07  +1.9218e+11 -1.3501e+10  +1.3501e+10 +5.1557e+10  +2.8952e+12 +2.7143e+12  -6.0196e+13 -1.5976e+14  +6.1766e+16 -4.8116e+16  +4.8476e+18 +1.3731e+19  -4.3722e+22 -2.5863e+20
+149.9972 +9.8511e-06 +3.4196e-06  +6.0858e-03 +1.6536e-02  -3.3072e+02 -4.3630e-02  -6.7333e+00 -4.7205e+00  -3.4232e+02 +8.2900e+01  +1.5901e+04 +2.4049e+03  -8.2753e+05 -4.8763e+04  -1.1499e+07 -2.9853e+07  +2.2076e+11 -1.5711e+10  +3.7639e+10 -1.0294e+10  +3.6352e+12 +3.7541e+12  -1.1362e+13 -1.6377e+14  +6.1300e+16 -5.5357e+16  +7.5739e+18 +1.6656e+19  -4.9909e+22 -6.2242e+20
+167.7984 +1.0511e-05 +2.6293e-06  +6.6392e-03 +1.7817e-02  -3.5998e+02 -3.7956e-02  -7.3042e+00 -4.6425e+00  -3.6555e+02 +9.9759e+01  +1.6222e+04 +2.4107e+03  -9.8302e+05 -9.1167e+04  -1.6074e+07 -3.4529e+07  +2.4074e+11 -1.8279e+10  +5.7398e+09 -6.6382e+09  +3.1568e+12 +4.3357e+12  -6.2190e+13 -8.3957e+13  +7.8095e+16 -7.8914e+16  +7.1264e+18 +1.8079e+19  -5.4299e+22 -8.7347e+20
+180.0000 +1.0784e-05 +1.8052e-06  +7.0139e-03 +1.8436e-02  -3.7642e+02 -3.2758e-02  -7.4242e+00 -4.3208e+00  -3.6939e+02 +1.1166e+02  +1.5373e+04 +2.2761e+03  -1.1485e+06 -1.3500e+05  -1.9645e+07 -3.9592e+07  +2.5145e+11 -2.0367e+10  -4.5166e+10 +2.7805e+10  +2.2104e+12 +4.5472e+12  -1.4833e+14 +1.6113e+13  +9.8969e+16 -1.0437e+17  +5.2563e+18 +1.8414e+19  -5.6701e+22 -1.0060e+21

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    S15-282 S15-117 S15-021 S15-145 S15-220 S15-243 S15-171 S15-280 S15-281 S15-005
# 5. last data point was extrapolated from a quadratic fitting using last 3 points.
# 6. rescaling factor based on new measurements compared to previous ones
#    === S15 ===
#    Family          Current[A] GL2020[T/m] GL2019[T/m] Diff[%]
#    SI-Fam:PS-SFA0   034.98     -79.16832   -78.79904  +0.469
#    SI-Fam:PS-SFB0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFP0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFA2   100.28    -226.93267  -226.12582  +0.357
#    SI-Fam:PS-SFA1   128.48    -288.11642  -287.21829  +0.313
#    SI-Fam:PS-SFB2   132.81    -297.45731  -296.61973  +0.282
#    SI-Fam:PS-SFP2   133.33    -298.58556  -297.76223  +0.277
#    SI-Fam:PS-SFB1   155.22    -344.48435  -351.10163  -1.885
#    SI-Fam:PS-SFP1   156.53    -346.61199  -354.72640  -2.288
#    SI-Fam:PS-SDB0   043.18     -97.72405   -97.30107  +0.435
#    SI-Fam:PS-SDP0   043.18     -97.72405   -97.30107  +0.435
#    SI-Fam:PS-SDA0   053.72    -121.71106  -121.21016  +0.413
#    SI-Fam:PS-SDA2   059.29    -134.38117  -133.83979  +0.404
#    SI-Fam:PS-SDB2   081.57    -184.93776  -184.24588  +0.376
#    SI-Fam:PS-SDP2   081.55    -184.89068  -184.19894  +0.376
#    SI-Fam:PS-SDA3   093.40    -211.57649  -210.80689  +0.365
#    SI-Fam:PS-SDB1   094.58    -214.22775  -213.45115  +0.364
#    SI-Fam:PS-SDP1   095.00    -215.17967  -214.40061  +0.363
#    SI-Fam:PS-SDA1   109.04    -246.21948  -245.37664  +0.343
#    SI-Fam:PS-SDB3   116.56    -262.52284  -261.65091  +0.333
#    SI-Fam:PS-SDP3   116.79    -263.03286  -262.15994  +0.333
# 7. average of +0.373% of sextupoles families was used

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
