# HEADER
# ======
# label             si-sextupole-s15-sfp2-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     2 normal
# rescaling_factor  1.00277
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 +6.3099e-06 +5.3523e-06  -9.9504e-05 +3.4007e-05  -2.3539e+00 -1.2353e-03  -6.9183e-01 +3.6173e-01  +3.6503e+00 -4.3211e+01  +2.1520e+02 +1.2962e+02  -1.1706e+04 +2.4983e+04  -1.3322e+06 +4.0187e+05  -5.9018e+08 -2.3616e+08  +2.6469e+08 -2.4612e+08  +6.1563e+11 +1.0979e+12  -2.5982e+13 -1.2527e+14  -2.4236e+15 -5.9704e+15  +3.4443e+17 -3.0432e+17  -3.1810e+20 -1.4389e+19
+129.9958 +1.9009e-05 -3.6951e-06  +8.1172e-03 +1.4943e-02  -2.8996e+02 +9.7996e-03  -3.6390e+00 -2.2295e+00  -6.5365e+02 -1.7410e+02  +1.5840e+04 +1.2776e+03  -1.4395e+06 +6.7791e+05  -2.6640e+07 -3.0665e+07  +1.8742e+11 -2.2425e+10  -2.2037e+10 +8.2064e+08  +6.4586e+12 +3.4701e+12  -2.9953e+13 +9.4920e+13  +6.3903e+16 -6.2468e+16  +7.2543e+18 +1.1751e+19  -4.2355e+22 +1.1751e+21
+149.9968 +2.2728e-05 -8.3742e-06  +9.1582e-03 +1.6790e-02  -3.3039e+02 +2.1161e-02  -4.4771e+00 -1.9895e+00  -7.2131e+02 -1.3007e+02  +1.7927e+04 +8.1095e+02  -1.5980e+06 +6.8923e+05  -3.1061e+07 -3.9434e+07  +2.1492e+11 -2.6019e+10  -7.7811e+09 -1.7914e+09  +4.2917e+12 +4.6488e+12  -6.5795e+13 +2.1451e+14  +5.7317e+16 -4.8060e+16  +7.0962e+18 +1.5272e+19  -4.7956e+22 +8.9253e+20
+167.7979 +2.8011e-05 -9.0900e-06  +9.7815e-03 +1.8133e-02  -3.5962e+02 +2.9761e-02  -5.5828e+00 -1.7877e+00  -7.2980e+02 -1.4076e+02  +1.9830e+04 +8.8770e+02  -1.6932e+06 +7.3098e+05  -2.5635e+07 -3.6717e+07  +2.3449e+11 -2.8760e+10  +4.8648e+09 +9.8335e+09  +4.1282e+12 +4.8437e+12  -2.3134e+14 +3.3211e+14  +4.5431e+16 -5.4113e+16  +5.9053e+18 +1.5362e+19  -5.2279e+22 +8.2653e+20
+180.0000 +3.2707e-05 -7.7044e-06  +1.0044e-02 +1.8890e-02  -3.7598e+02 +3.4834e-02  -6.5366e+00 -1.6559e+00  -7.0747e+02 -1.7523e+02  +2.1159e+04 +1.2080e+03  -1.7334e+06 +7.7682e+05  -1.6822e+07 -2.9130e+07  +2.4524e+11 -3.0391e+10  +1.3510e+10 +2.5391e+10  +4.9764e+12 +4.5127e+12  -4.1753e+14 +4.1880e+14  +3.4007e+16 -6.8532e+16  +4.5175e+18 +1.3768e+19  -5.4882e+22 +8.8221e+20

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    S15-062 S15-049 S15-194 S15-064 S15-237 S15-127 S15-057 S15-173 S15-089 S15-054
# 5. last data point was extrapolated from a quadratic fitting using last 3 points.
# 6. rescaling factor based on new measurements compared to previous ones
#    === S15 ===
#    Family          Current[A] GL2020[T/m] GL2019[T/m] Diff[%]
#    SI-Fam:PS-SFA0   034.98     -79.16832   -78.79904  +0.469
#    SI-Fam:PS-SFB0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFP0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFA2   100.28    -226.93267  -226.12582  +0.357
#    SI-Fam:PS-SFA1   128.48    -288.11642  -287.21829  +0.313
#    SI-Fam:PS-SFB2   132.81    -297.45731  -296.61973  +0.282
#    SI-Fam:PS-SFP2   133.33    -298.58556  -297.76223  +0.277
#    SI-Fam:PS-SFB1   155.22    -344.48435  -351.10163  -1.885
#    SI-Fam:PS-SFP1   156.53    -346.61199  -354.72640  -2.288
#    SI-Fam:PS-SDB0   043.18     -97.72405   -97.30107  +0.435
#    SI-Fam:PS-SDP0   043.18     -97.72405   -97.30107  +0.435
#    SI-Fam:PS-SDA0   053.72    -121.71106  -121.21016  +0.413
#    SI-Fam:PS-SDA2   059.29    -134.38117  -133.83979  +0.404
#    SI-Fam:PS-SDB2   081.57    -184.93776  -184.24588  +0.376
#    SI-Fam:PS-SDP2   081.55    -184.89068  -184.19894  +0.376
#    SI-Fam:PS-SDA3   093.40    -211.57649  -210.80689  +0.365
#    SI-Fam:PS-SDB1   094.58    -214.22775  -213.45115  +0.364
#    SI-Fam:PS-SDP1   095.00    -215.17967  -214.40061  +0.363
#    SI-Fam:PS-SDA1   109.04    -246.21948  -245.37664  +0.343
#    SI-Fam:PS-SDB3   116.56    -262.52284  -261.65091  +0.333
#    SI-Fam:PS-SDP3   116.79    -263.03286  -262.15994  +0.333

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
