# HEADER
# ======
# label             si-sextupole-s15-sfa1-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     2 normal
# rescaling factor  1.002908
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 +4.7806e-06 +1.9333e-06  -3.7051e-05 +1.7279e-04  -2.3486e+00 -2.6643e-03  -2.7788e-01 -1.6284e-01  -8.8540e+00 +1.9898e+00  +6.0561e+01 +3.6281e+02  -1.6666e+04 +2.7483e+01  -2.0154e+06 -7.5656e+05  -5.0312e+08 -2.0485e+08  -1.0328e+10 +1.4177e+10  -7.4243e+11 +7.0216e+11  +1.1433e+14 -1.3583e+14  +8.5215e+14 -1.1622e+15  +1.5214e+17 +8.0035e+17  -3.2429e+20 -2.8384e+19
+149.9968 +4.3680e-05 +2.7874e-06  +7.8967e-03 +1.5094e-02  -3.3064e+02 -7.9108e-02  -4.3091e+00 -4.9373e-01  -3.6983e+02 -1.2508e+02  -5.1614e+02 +1.5770e+03  -1.2449e+06 +4.8613e+05  -5.5283e+06 -2.9446e+07  +2.1332e+11 -5.0731e+10  +1.1497e+10 +1.9913e+10  +1.3552e+12 +3.6822e+12  +2.2180e+14 -6.0833e+13  +2.4527e+16 -6.3869e+16  +7.2505e+18 +1.7132e+19  -4.9488e+22 +1.1294e+21
+167.7977 +4.9203e-05 +6.3337e-06  +8.8218e-03 +1.6656e-02  -3.5984e+02 -6.0939e-02  -3.5362e+00 -1.6564e+00  -3.7792e+02 -1.8032e+02  +4.8393e+02 +9.5628e+02  -1.4052e+06 +5.8191e+05  -8.3635e+06 -2.3839e+07  +2.3274e+11 -5.8766e+10  -5.3812e+09 -5.0537e+10  +3.0980e+12 +1.1372e+13  -9.8986e+13 -1.1030e+14  +3.7312e+16 -8.9008e+16  +1.0611e+19 +1.5785e+19  -5.4190e+22 +1.2211e+21

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    S15-142 S15-219 S15-102 S15-286 S15-236 S15-266 S15-265 S15-272 S15-098 S15-105

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
