# HEADER
# ======
# label             si-sextupole-s15-sdb3-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     2 normal
# rescaling factor  1.003330
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 +4.9265e-06 +2.9102e-06  +1.2540e-04 -4.4630e-06  -2.3797e+00 -3.4288e-03  +2.6495e-01 +5.0335e-01  -1.5359e+01 -6.3508e+00  +7.2687e+01 +9.1819e+01  -3.1330e+04 -5.3188e+03  +5.6832e+05 -2.8276e+05  -4.3300e+08 -5.3371e+07  -3.3310e+09 -1.0373e+10  +8.4489e+11 +2.8666e+11  +7.2247e+12 -1.3176e+14  +6.6626e+14 -3.4040e+15  +1.9645e+17 +2.2345e+17  -3.5005e+20 +1.2228e+19
+129.9957 +2.2269e-05 -8.5447e-06  +8.4243e-03 +1.4328e-02  -2.8997e+02 -1.6365e-01  -4.2668e+00 -2.0552e+00  -5.5632e+02 +1.4218e+02  +3.1375e+02 +2.5670e+03  -1.3772e+06 +4.5686e+04  -2.1082e+07 -2.4237e+07  +1.9109e+11 -2.9192e+10  -4.3467e+09 -2.0206e+10  -2.3370e+12 +5.9684e+12  +1.1950e+14 +5.3873e+12  +6.0472e+16 -6.1042e+16  +6.7171e+18 +1.4992e+19  -4.3682e+22 +4.2483e+20
+149.9969 +2.7335e-05 -9.9064e-06  +9.5293e-03 +1.6383e-02  -3.3033e+02 -1.6274e-01  -4.7128e+00 -2.7646e+00  -6.0299e+02 +1.5625e+02  +1.9702e+02 +2.6547e+03  -1.5843e+06 +7.4683e+04  -2.0181e+07 -2.5148e+07  +2.1836e+11 -3.6331e+10  -2.0204e+10 -3.7787e+10  -3.1428e+12 +8.6228e+12  +1.1751e+14 -9.2523e+13  +7.4184e+16 -6.3510e+16  +7.3091e+18 +1.5543e+19  -4.9551e+22 +4.9635e+19
+167.7980 +3.1532e-05 -9.6515e-06  +1.0291e-02 +1.7843e-02  -3.5957e+02 -1.5623e-01  -5.2061e+00 -3.2907e+00  -6.2206e+02 +1.6533e+02  +8.0941e+02 +4.1476e+03  -1.6891e+06 +7.0772e+04  -2.3114e+07 -2.6429e+07  +2.3857e+11 -4.2247e+10  -2.3665e+10 +1.7339e+10  -2.4530e+12 +5.9108e+12  +1.4682e+14 -2.2905e+14  +8.4691e+16 -6.9987e+16  +7.4047e+18 +1.5990e+19  -5.4075e+22 -3.1450e+20
+180.0000 +3.4238e-05 -8.6788e-06  +1.0693e-02 +1.8642e-02  -3.7597e+02 -1.4866e-01  -5.5966e+00 -3.5941e+00  -6.2290e+02 +1.6968e+02  +1.6189e+03 +5.9406e+03  -1.7176e+06 +5.1922e+04  -2.7156e+07 -2.7564e+07  +2.5021e+11 -4.6064e+10  -2.0242e+10 +9.3629e+10  -1.2148e+12 +1.2911e+12  +1.8382e+14 -3.4951e+14  +9.0970e+16 -7.6754e+16  +7.2357e+18 +1.6272e+19  -5.6796e+22 -5.8054e+20

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    S15-084 S15-111 S15-228 S15-150 S15-198 S15-201 S15-196 S15-125 S15-183 S15-205
#    S15-047 S15-200 S15-037 S15-148 S15-058 S15-178 S15-255 S15-134 S15-083 S15-046
# 5. last data point was extrapolated from a quadratic fitting using last 3 points.
# 6. rescaling factor based on new measurements compared to previous ones
#    === S15 ===
#    Family          Current[A] GL2020[T/m] GL2019[T/m] Diff[%]
#    SI-Fam:PS-SFA0   034.98     -79.16832   -78.79904  +0.469
#    SI-Fam:PS-SFB0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFP0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFA2   100.28    -226.93267  -226.12582  +0.357
#    SI-Fam:PS-SFA1   128.48    -288.11642  -287.21829  +0.313
#    SI-Fam:PS-SFB2   132.81    -297.45731  -296.61973  +0.282
#    SI-Fam:PS-SFP2   133.33    -298.58556  -297.76223  +0.277
#    SI-Fam:PS-SFB1   155.22    -344.48435  -351.10163  -1.885
#    SI-Fam:PS-SFP1   156.53    -346.61199  -354.72640  -2.288
#    SI-Fam:PS-SDB0   043.18     -97.72405   -97.30107  +0.435
#    SI-Fam:PS-SDP0   043.18     -97.72405   -97.30107  +0.435
#    SI-Fam:PS-SDA0   053.72    -121.71106  -121.21016  +0.413
#    SI-Fam:PS-SDA2   059.29    -134.38117  -133.83979  +0.404
#    SI-Fam:PS-SDB2   081.57    -184.93776  -184.24588  +0.376
#    SI-Fam:PS-SDP2   081.55    -184.89068  -184.19894  +0.376
#    SI-Fam:PS-SDA3   093.40    -211.57649  -210.80689  +0.365
#    SI-Fam:PS-SDB1   094.58    -214.22775  -213.45115  +0.364
#    SI-Fam:PS-SDP1   095.00    -215.17967  -214.40061  +0.363
#    SI-Fam:PS-SDA1   109.04    -246.21948  -245.37664  +0.343
#    SI-Fam:PS-SDB3   116.56    -262.52284  -261.65091  +0.333
#    SI-Fam:PS-SDP3   116.79    -263.03286  -262.15994  +0.333

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
