# HEADER
# ======
# label             si-quadrupole-q20-qfa-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     1 normal
# rescaling_factor  0.99993
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 +3.0253e-06 +3.1280e-06  -4.0398e-02 +1.2881e-05  -7.4163e-03 -2.9821e-03  +7.4209e-02 +2.6410e-02  -5.3891e+00 +5.2915e+00  -2.8563e+03 -1.3812e+02  +2.6517e+04 -9.1232e+03  -6.5769e+05 -1.3225e+06  +1.3781e+08 +5.1705e+07  -1.3075e+11 +4.4946e+09  -7.7761e+10 -2.8656e+10  -4.6131e+13 +2.8114e+13  +1.1278e+16 -4.6706e+15  +3.4270e+18 +2.2287e+17  -2.5690e+19 +5.9408e+18
+129.9955 +6.6220e-05 +5.2877e-05  -7.6248e+00 -6.5294e-04  -1.2496e-01 -1.5802e-01  -7.4714e+00 +2.1225e+00  -5.7200e+01 +9.6205e+01  +3.0002e+05 -2.7203e+04  +2.3777e+04 +2.6783e+05  +1.6309e+07 +1.1262e+07  +2.5698e+09 +1.3216e+08  -2.9699e+13 +5.5512e+11  +1.2531e+12 -2.6564e+12  -2.7064e+14 -6.8579e+14  -4.9819e+16 -3.7687e+15  +5.9998e+20 -5.1498e+18  +6.1761e+19 +9.2933e+19
+157.4135 +7.6057e-05 +6.1535e-05  -9.0805e+00 -7.5254e-04  -1.5547e-01 -1.8701e-01  -8.5283e+00 +2.5367e+00  -6.9330e+01 +1.0988e+02  +3.7282e+05 -3.3649e+04  +1.6368e+04 +3.3699e+05  +2.0249e+07 +1.3602e+07  +3.4777e+09 +3.1197e+08  -3.5297e+13 +6.6167e+11  +1.1271e+12 -2.7751e+12  -3.9311e+14 -8.1541e+14  -9.2844e+16 -9.6341e+15  +7.1552e+20 -6.1535e+18  +5.4337e+19 -4.3644e+19

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    Q20-076 Q20-079 Q20-176 Q20-074 Q20-101 Q20-162 Q20-155 Q20-095 Q20-071 Q20-049
# 5. rescaling factor based on new measurements compared to previous ones
#    === Q20 (055) ===
#        Family      Current[A] GL2020[T] GL2018[T] Diff[%]
#    SI-Fam:PS-Q1     095.22    -5.61769  -5.61929  -0.028
#    SI-Fam:PS-Q3     108.91    -6.41211  -6.41347  -0.021
#    SI-Fam:PS-QFA    121.00    -7.10513  -7.10563  -0.007
#    SI-Fam:PS-Q4     134.76    -7.88911  -7.88503  +0.052
#    SI-Fam:PS-Q2     148.96    -8.68959  -8.66639  +0.268

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
