# HEADER
# ======
# label             si-sextupole-s15-sda2-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     2 normal
# rescaling factor  1.004040
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 -6.0314e-06 -1.5294e-06  -1.7437e-05 -1.8158e-04  +2.2752e+00 +6.6682e-04  +1.0682e-01 +2.7038e-01  +2.4801e+00 +4.8686e+00  +1.7150e+02 +2.8035e+01  +1.5795e+04 +2.5784e+02  +1.3902e+06 -5.7278e+05  +6.9379e+08 +1.8749e+08  +6.4416e+09 -7.4316e+09  +1.8221e+11 -4.1945e+11  -8.6675e+12 +1.4644e+14  +7.9054e+14 -2.5677e+15  +1.5082e+17 -2.2060e+17  +3.2076e+20 +2.8844e+18  
+129.9959 -1.4018e-05 +8.9028e-06  -6.5577e-03 -1.4155e-02  +2.9070e+02 +4.8838e-02  +2.8329e+00 +1.1446e+00  +3.1189e+02 -1.7901e+01  -9.5664e+02 -5.7614e+02  +8.3211e+05 -2.4182e+05  +1.7727e+07 +4.1176e+07  -1.8695e+11 +2.2510e+10  +2.4388e+09 -2.7357e+10  +1.9710e+12 -5.4944e+12  -8.5603e+13 -3.2142e+14  -5.4910e+16 +4.8198e+16  -6.3984e+18 -1.4041e+19  +4.2245e+22 -1.5629e+21  
+149.9969 -1.6918e-05 +1.1185e-05  -7.3998e-03 -1.6272e-02  +3.3109e+02 +4.8408e-02  +3.3964e+00 +2.0852e+00  +3.4696e+02 -3.6593e+01  -1.0925e+03 -4.1492e+02  +9.6555e+05 -2.8832e+05  +2.2070e+07 +4.3026e+07  -2.1425e+11 +2.6987e+10  -2.8342e+10 -3.2196e+10  +4.1339e+12 -5.4485e+12  -1.0634e+14 -5.6878e+14  -7.3782e+16 +6.6976e+16  -6.9470e+18 -1.6576e+19  +4.8265e+22 -1.9177e+21  
+167.7979 -2.0200e-05 +1.4339e-05  -8.1645e-03 -1.7890e-02  +3.6033e+02 +4.5525e-02  +3.1571e+00 +3.2044e+00  +3.5617e+02 -7.3711e+01  -5.9635e+02 -9.8001e+02  +1.0777e+06 -2.7433e+05  +1.9534e+07 +4.7954e+07  -2.3388e+11 +3.0776e+10  -3.9211e+10 -5.6826e+10  +4.2053e+12 -3.7238e+12  +8.4199e+13 -4.7621e+14  -7.5369e+16 +9.4938e+16  -7.7071e+18 -1.8553e+19  +5.2656e+22 -2.0486e+21  
+180.0000 -2.2831e-05 +1.7111e-05  -8.6969e-03 -1.8853e-02  +3.7672e+02 +4.2189e-02  +2.5901e+00 +4.1251e+00  +3.5051e+02 -1.1030e+02  +7.9442e+01 -1.7529e+03  +1.1510e+06 -2.3460e+05  +1.4313e+07 +5.3117e+07  -2.4479e+11 +3.3266e+10  -3.7671e+10 -8.4766e+10  +3.2458e+12 -1.6253e+12  +3.2852e+14 -2.4261e+14  -6.8182e+16 +1.2023e+17  -8.3761e+18 -1.9758e+19  +5.5139e+22 -2.0378e+21  

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    S15-248 S15-277 S15-245 S15-029 S15-256 S15-167 S15-031 S15-263 S15-166 S15-032 
# 5. last data point was extrapolated from a quadratic fitting using last 3 points.
# 6. rescaling factor based on new measurements compared to previous ones
#    === S15 ===
#    Family          Current[A] GL2020[T/m] GL2019[T/m] Diff[%]
#    SI-Fam:PS-SFA0   034.98     -79.16832   -78.79904  +0.469
#    SI-Fam:PS-SFB0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFP0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFA2   100.28    -226.93267  -226.12582  +0.357
#    SI-Fam:PS-SFA1   128.48    -288.11642  -287.21829  +0.313
#    SI-Fam:PS-SFB2   132.81    -297.45731  -296.61973  +0.282
#    SI-Fam:PS-SFP2   133.33    -298.58556  -297.76223  +0.277
#    SI-Fam:PS-SFB1   155.22    -344.48435  -351.10163  -1.885
#    SI-Fam:PS-SFP1   156.53    -346.61199  -354.72640  -2.288
#    SI-Fam:PS-SDB0   043.18     +97.72405   +97.30107  +0.435
#    SI-Fam:PS-SDP0   043.18     +97.72405   +97.30107  +0.435
#    SI-Fam:PS-SDA0   053.72    +121.71106  +121.21016  +0.413
#    SI-Fam:PS-SDA2   059.29    +134.38117  +133.83979  +0.404
#    SI-Fam:PS-SDB2   081.57    +184.93776  +184.24588  +0.376
#    SI-Fam:PS-SDP2   081.55    +184.89068  +184.19894  +0.376
#    SI-Fam:PS-SDA3   093.40    +211.57649  +210.80689  +0.365
#    SI-Fam:PS-SDB1   094.58    +214.22775  +213.45115  +0.364
#    SI-Fam:PS-SDP1   095.00    +215.17967  +214.40061  +0.363
#    SI-Fam:PS-SDA1   109.04    +246.21948  +245.37664  +0.343
#    SI-Fam:PS-SDB3   116.56    +262.52284  +261.65091  +0.333
#    SI-Fam:PS-SDP3   116.79    +263.03286  +262.15994  +0.333

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
