# HEADER
# ======
# label             si-quadrupole-q20-q3-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     1 normal
# rescaling factor  1.002908
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 +6.0896e-06 +1.9523e-06  -3.8951e-02 +1.4337e-05  +3.5311e-03 +1.7138e-03  +6.4908e-02 +2.8470e-02  -2.7437e+00 +5.4713e-03  -2.9235e+03 -2.4153e+02  -8.9578e+03 -8.4147e+03  -1.2119e+06 -2.3982e+06  +7.4867e+07 -6.1492e+07  -1.1939e+11 -7.2695e+09  -6.8923e+11 +3.7082e+11  -2.9516e+13 -3.4224e+13  -1.1135e+15 -7.0982e+15  +3.4560e+18 +1.8885e+17  -1.3635e+19 -4.3043e+19  
+129.9958 +4.7571e-05 +3.2107e-05  -7.6311e+00 -6.7864e-04  -1.1714e-01 -9.1185e-02  -6.4113e+00 +1.7788e+00  -4.2288e+01 +5.9044e+01  +3.0127e+05 -2.9487e+04  -6.3452e+04 +1.7595e+05  +8.6869e+06 +1.2355e+07  +1.6613e+09 +6.0934e+08  -2.9740e+13 +6.8857e+11  +1.6003e+12 -1.5257e+12  -9.6570e+13 -1.0206e+15  -3.5654e+16 -1.7980e+16  +6.0385e+20 -1.0207e+19  +7.4681e+19 +8.1505e+19  
+157.4468 +5.8831e-05 +3.6356e-05  -9.0883e+00 -7.7200e-04  -1.2886e-01 -1.0695e-01  -7.3829e+00 +2.1064e+00  -4.7116e+01 +6.9101e+01  +3.7459e+05 -3.6423e+04  -1.1587e+05 +2.1573e+05  +8.6503e+06 +1.6992e+07  +2.1159e+09 +5.5697e+08  -3.5326e+13 +8.4062e+11  +2.9453e+12 -3.3822e+12  -1.3644e+14 -1.2393e+15  -5.2941e+16 -2.3540e+16  +7.1840e+20 -1.2551e+19  +3.9752e+19 +1.1078e+20  

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    Q20-066 Q20-061 Q20-091 Q20-004 Q20-147 Q20-114 Q20-112 Q20-165 Q20-107 Q20-019 
#    Q20-179 Q20-106 Q20-148 Q20-108 Q20-070 Q20-159 Q20-121 Q20-045 Q20-042 Q20-130 
#    Q20-161 Q20-075 Q20-127 Q20-022 Q20-145 Q20-133 Q20-172 Q20-129 Q20-018 Q20-142 
#    Q20-139 Q20-113 Q20-140 Q20-170 Q20-110 Q20-044 Q20-086 Q20-177 Q20-031 Q20-064 

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
