# HEADER
# ======
# label             si-quadrupole-q30-qfb-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     1 normal
# rescaling factor  0.99839
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 -6.6424e-08 +4.4397e-06  -5.5034e-02 +4.5258e-05  -1.3546e-02 -9.8987e-03  +5.4841e-02 +1.9846e-01  -1.2680e+01 +9.5209e+00  +7.1890e+02 -3.5558e+02  +3.2238e+04 -6.5506e+03  +8.9082e+05 -6.8094e+06  +1.0218e+08 +4.5148e+07  -2.1321e+11 +2.2570e+09  -1.0315e+12 +1.5978e+11  +1.4214e+14 +1.1121e+14  -5.1117e+15 +2.7568e+15  +4.3897e+18 +1.0013e+17  -3.8344e+18 -2.9094e+19
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
