# HEADER
# ======
# label             si-sextupole-s15-sda3-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     2 normal
# rescaling factor  1.003650
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 -6.2209e-06 -3.7639e-06  -6.8626e-05 -1.1274e-04  +2.4298e+00 +2.8446e-03  -8.6875e-02 -7.0073e-02  -5.8312e+00 +2.1763e+01  -7.7857e+01 -9.4011e+01  -1.2813e+04 -2.0687e+04  -3.4078e+05 +1.3898e+06  +5.4012e+08 -6.5728e+06  +4.8510e+09 -4.3426e+09  +2.7316e+12 -1.3059e+11  -4.9001e+13 +3.1483e+14  -3.1756e+15 +1.2736e+16  -1.8576e+17 +1.1863e+18  +3.6236e+20 -8.6827e+18  
+129.9962 -1.4931e-05 +8.4487e-06  -9.3039e-03 -1.4590e-02  +2.8973e+02 +1.5001e-01  +4.1974e+00 +4.5114e-01  +6.3767e+02 -1.2464e+02  -9.9222e+03 -9.0642e+02  +1.6458e+06 -1.3626e+05  +2.1544e+07 +3.7785e+07  -1.9429e+11 +3.0875e+10  +6.2959e+10 -6.5667e+10  -3.5689e+12 -1.6646e+12  +3.3305e+14 -2.8225e+14  -9.3780e+16 +3.7749e+16  -8.1324e+18 -1.4340e+19  +4.4135e+22 -2.8251e+20  
+149.9973 -1.8240e-05 +9.3933e-06  -1.0551e-02 -1.6607e-02  +3.3005e+02 +1.4572e-01  +4.6676e+00 +7.1598e-01  +7.1194e+02 -1.3857e+02  -1.1878e+04 -2.7016e+02  +1.8953e+06 -1.8483e+05  +1.5538e+07 +3.8767e+07  -2.2203e+11 +3.7064e+10  +7.8622e+10 -6.8621e+10  -3.8856e+12 -4.9306e+12  +1.6834e+14 -3.0476e+14  -1.0373e+17 +6.6160e+16  -9.0021e+18 -1.5441e+19  +5.0357e+22 +5.0414e+20  
+167.7983 -2.2134e-05 +9.8416e-06  -1.1491e-02 -1.7948e-02  +3.5930e+02 +1.3689e-01  +4.8214e+00 +4.7135e-01  +7.4315e+02 -1.3558e+02  -1.3267e+04 -7.0798e+02  +2.0296e+06 -1.9740e+05  +1.3025e+07 +3.9050e+07  -2.4262e+11 +4.4363e+10  +6.7246e+10 -9.6046e+10  -1.4252e+12 +2.0456e+12  +4.1607e+14 -4.0207e+14  -1.0243e+17 +8.7084e+16  -8.6694e+18 -1.7723e+19  +5.4980e+22 +7.5504e+20  
+180.0000 -2.5319e-05 +9.9354e-06  -1.2043e-02 -1.8619e-02  +3.7574e+02 +1.2811e-01  +4.7829e+00 +4.2351e-02  +7.4556e+02 -1.2517e+02  -1.4027e+04 -1.5544e+03  +2.0740e+06 -1.8933e+05  +1.2844e+07 +3.8924e+07  -2.5450e+11 +5.0340e+10  +4.5676e+10 -1.2833e+11  +1.7532e+12 +1.2204e+13  +8.0041e+14 -5.1082e+14  -9.6025e+16 +9.9055e+16  -7.8394e+18 -1.9997e+19  +5.7651e+22 +6.8262e+20  

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    S15-217 S15-215 S15-035 S15-144 S15-216 S15-214 S15-204 S15-036 S15-051 S15-022 
# 5. last data point was extrapolated from a quadratic fitting using last 3 points.
# 6. rescaling factor based on new measurements compared to previous ones
#    === S15 ===
#    Family          Current[A] GL2020[T/m] GL2019[T/m] Diff[%]
#    SI-Fam:PS-SFA0   034.98     -79.16832   -78.79904  +0.469
#    SI-Fam:PS-SFB0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFP0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFA2   100.28    -226.93267  -226.12582  +0.357
#    SI-Fam:PS-SFA1   128.48    -288.11642  -287.21829  +0.313
#    SI-Fam:PS-SFB2   132.81    -297.45731  -296.61973  +0.282
#    SI-Fam:PS-SFP2   133.33    -298.58556  -297.76223  +0.277
#    SI-Fam:PS-SFB1   155.22    -344.48435  -351.10163  -1.885
#    SI-Fam:PS-SFP1   156.53    -346.61199  -354.72640  -2.288
#    SI-Fam:PS-SDB0   043.18     +97.72405   +97.30107  +0.435
#    SI-Fam:PS-SDP0   043.18     +97.72405   +97.30107  +0.435
#    SI-Fam:PS-SDA0   053.72    +121.71106  +121.21016  +0.413
#    SI-Fam:PS-SDA2   059.29    +134.38117  +133.83979  +0.404
#    SI-Fam:PS-SDB2   081.57    +184.93776  +184.24588  +0.376
#    SI-Fam:PS-SDP2   081.55    +184.89068  +184.19894  +0.376
#    SI-Fam:PS-SDA3   093.40    +211.57649  +210.80689  +0.365
#    SI-Fam:PS-SDB1   094.58    +214.22775  +213.45115  +0.364
#    SI-Fam:PS-SDP1   095.00    +215.17967  +214.40061  +0.363
#    SI-Fam:PS-SDA1   109.04    +246.21948  +245.37664  +0.343
#    SI-Fam:PS-SDB3   116.56    +262.52284  +261.65091  +0.333
#    SI-Fam:PS-SDP3   116.79    +263.03286  +262.15994  +0.333

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
