# HEADER
# ======
# label             si-sextupole-s15-sfp1-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     2 normal
# rescaling factor  0.98115
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 +6.6147e-06 +6.5130e-07  +1.7573e-04 -1.6827e-04  -2.3091e+00 -2.1123e-03  +6.1998e-01 +1.1922e+00  +1.7302e+01 +2.1518e+01  +2.1214e+02 +8.6492e+01  +5.1024e+02 -3.4659e+04  -7.4156e+04 -2.4416e+06  -5.3776e+08 -1.2694e+07  -4.7880e+09 -1.4184e+10  -6.9483e+11 +1.2254e+11  +3.0274e+13 -1.0005e+14  +7.5122e+14 -1.1536e+15  -1.4713e+15 +3.4181e+17  -3.1615e+20 +2.1672e+19
+129.9958 +1.4671e-05 +5.5939e-06  +7.3296e-03 +1.5070e-02  -2.9011e+02 -6.4205e-02  -6.2105e+00 -3.1213e+00  -3.0448e+02 -1.3622e+02  +4.8936e+03 +2.4188e+03  -9.0365e+05 +3.8812e+05  -3.6242e+07 -2.5171e+07  +1.9296e+11 -3.0241e+10  +2.4764e+10 +1.3433e+10  -7.8916e+11 +9.8716e+12  +8.6321e+13 +1.4778e+14  +6.1696e+16 -5.0545e+16  +5.4057e+18 +1.5263e+19  -4.4048e+22 -5.5075e+19
+149.9967 +1.9058e-05 +8.3038e-06  +8.3063e-03 +1.7148e-02  -3.3044e+02 -5.0734e-02  -7.2248e+00 -3.7226e+00  -3.2247e+02 -1.9466e+02  +4.8943e+03 +2.3628e+03  -1.0325e+06 +4.3596e+05  -4.0723e+07 -3.0228e+07  +2.2099e+11 -3.7964e+10  +4.7135e+10 +3.5167e+10  +8.6291e+11 +9.6547e+12  +2.3813e+14 +3.0670e+14  +6.6993e+16 -2.9222e+16  +6.2789e+18 +1.8448e+19  -5.0132e+22 -5.9792e+20
+167.7980 +2.3827e-05 +7.8761e-06  +9.0670e-03 +1.8636e-02  -3.5973e+02 -3.9434e-02  -7.5460e+00 -4.0159e+00  -3.0542e+02 -2.0058e+02  +5.3937e+03 +2.6237e+03  -9.9347e+05 +5.5810e+05  -3.9950e+07 -2.7465e+07  +2.4126e+11 -4.3004e+10  +6.2085e+10 -3.3679e+10  +3.4009e+12 +1.1242e+13  +3.2486e+12 +5.0393e+13  +8.1661e+16 -6.4416e+16  +7.7449e+18 +1.7791e+19  -5.4575e+22 -1.1179e+21
+180.0000 +2.7565e-05 +6.0381e-06  +9.5293e-03 +1.9458e-02  -3.7620e+02 -3.2063e-02  -7.4498e+00 -4.0852e+00  -2.7576e+02 -1.7956e+02  +6.0074e+03 +2.9717e+03  -8.8312e+05 +6.8510e+05  -3.6831e+07 -2.1618e+07  +2.5261e+11 -4.5462e+10  +6.9633e+10 -1.2885e+11  +5.7215e+12 +1.3298e+13  -3.5904e+14 -3.4169e+14  +9.7129e+16 -1.1801e+17  +9.1245e+18 +1.5442e+19  -5.7092e+22 -1.4943e+21

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    S15-063 S15-260 S15-180 S15-176 S15-250 S15-209 S15-165 S15-253 S15-229 S15-251
# 5. last data point was extrapolated from a quadratic fitting using last 3 points.
# 6. rescaling factor based on new measurements compared to previous ones
#    === S15 ===
#    Family          Current[A] GL2020[T/m] GL2019[T/m] Diff[%]
#    SI-Fam:PS-SFA0   034.98     -79.16832   -78.79904  +0.469
#    SI-Fam:PS-SFB0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFP0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFA2   100.28    -226.93267  -226.12582  +0.357
#    SI-Fam:PS-SFA1   128.48    -288.11642  -287.21829  +0.313
#    SI-Fam:PS-SFB2   132.81    -297.45731  -296.61973  +0.282
#    SI-Fam:PS-SFP2   133.33    -298.58556  -297.76223  +0.277
#    SI-Fam:PS-SFB1   155.22    -344.48435  -351.10163  -1.885
#    SI-Fam:PS-SFP1   156.53    -346.61199  -354.72640  -2.288
#    SI-Fam:PS-SDB0   043.18     -97.72405   -97.30107  +0.435
#    SI-Fam:PS-SDP0   043.18     -97.72405   -97.30107  +0.435
#    SI-Fam:PS-SDA0   053.72    -121.71106  -121.21016  +0.413
#    SI-Fam:PS-SDA2   059.29    -134.38117  -133.83979  +0.404
#    SI-Fam:PS-SDB2   081.57    -184.93776  -184.24588  +0.376
#    SI-Fam:PS-SDP2   081.55    -184.89068  -184.19894  +0.376
#    SI-Fam:PS-SDA3   093.40    -211.57649  -210.80689  +0.365
#    SI-Fam:PS-SDB1   094.58    -214.22775  -213.45115  +0.364
#    SI-Fam:PS-SDP1   095.00    -215.17967  -214.40061  +0.363
#    SI-Fam:PS-SDA1   109.04    -246.21948  -245.37664  +0.343
#    SI-Fam:PS-SDB3   116.56    -262.52284  -261.65091  +0.333
#    SI-Fam:PS-SDP3   116.79    -263.03286  -262.15994  +0.333

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
