# HEADER
# ======
# label             si-sextupole-s15-sdb0-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     2 normal
# rescaling_factor  1.004350
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 -6.2683e-06 -1.2306e-06  -7.4435e-05 -9.4116e-05  +2.3893e+00 +2.1625e-03  -6.4807e-02 -6.8328e-02  -1.8493e+00 -3.1504e+00  -5.4383e+01 -1.1407e+02  +8.5875e+03 +1.0174e+04  +8.7547e+04 -1.7814e+05  +5.1761e+08 +4.6073e+07  +1.9699e+09 +3.7506e+09  +5.8930e+10 +8.3513e+10  -4.2147e+13 +1.3042e+14  +1.3191e+15 -1.5220e+15  +4.4452e+16 +2.0811e+15  +3.1681e+20 -8.1656e+18  
+129.9958 -2.1197e-05 +6.0139e-06  -8.3492e-03 -1.3148e-02  +2.9026e+02 +7.2588e-02  +2.3190e+00 +1.2858e+00  +4.7714e+02 -9.4251e+01  -2.9324e+03 -5.8480e+02  +1.1922e+06 -3.6507e+04  +9.4063e+06 +3.2460e+07  -1.8979e+11 +2.8199e+10  +5.6337e+10 +2.8046e+09  -1.8738e+11 -2.5565e+12  +3.0494e+13 -1.7153e+14  -6.5233e+16 +3.4450e+16  -4.8418e+18 -1.2004e+19  +4.3239e+22 -1.2063e+21  
+149.9968 -2.6132e-05 +6.6131e-06  -9.3637e-03 -1.5100e-02  +3.3069e+02 +6.3882e-02  +2.9609e+00 +2.1591e+00  +5.0835e+02 -9.6978e+01  -3.2656e+03 -2.9038e+02  +1.3250e+06 -7.1871e+04  +7.0585e+06 +3.4431e+07  -2.1722e+11 +3.4853e+10  +9.2016e+10 -7.5049e+09  +8.2610e+10 +2.1325e+12  -1.4241e+14 -3.2797e+14  -7.1593e+16 +4.3321e+16  -5.0384e+18 -1.3702e+19  +4.9064e+22 -1.0724e+21  
+167.7977 -3.1041e-05 +8.0159e-06  -1.0041e-02 -1.6490e-02  +3.5991e+02 +5.4550e-02  +3.6295e+00 +2.7368e+00  +5.1493e+02 -1.1384e+02  -2.8935e+03 +2.0154e+02  +1.3931e+06 -1.1364e+05  +4.8893e+06 +3.9673e+07  -2.3745e+11 +3.9989e+10  +1.1481e+11 -4.7205e+10  -1.0646e+11 +5.8230e+11  -3.1598e+14 -4.2000e+14  -8.0386e+16 +5.8029e+16  -3.1600e+18 -1.5446e+19  +5.3691e+22 -1.0484e+21  
+180.0000 -3.4688e-05 +9.4505e-06  -1.0383e-02 -1.7253e-02  +3.7626e+02 +4.7292e-02  +4.1407e+00 +3.0241e+00  +5.0791e+02 -1.3326e+02  -2.2746e+03 +6.6382e+02  +1.4124e+06 -1.4788e+05  +3.3590e+06 +4.5164e+07  -2.4905e+11 +4.3083e+10  +1.2556e+11 -9.1026e+10  -4.6966e+11 -3.5942e+12  -4.4567e+14 -4.5741e+14  -8.8118e+16 +7.1818e+16  -7.5534e+17 -1.6769e+19  +5.6559e+22 -1.0837e+21  

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    S15-159 S15-119 S15-132 S15-101 S15-026 S15-085 S15-259 S15-264 S15-154 S15-131 
#    S15-241 S15-108 S15-086 S15-114 S15-213 S15-106 S15-157 S15-023 S15-045 S15-239 
# 5. last data point was extrapolated from a quadratic fitting using last 3 points.
# 6. rescaling factor based on new measurements compared to previous ones
#    === S15 ===
#    Family          Current[A] GL2020[T/m] GL2019[T/m] Diff[%]
#    SI-Fam:PS-SFA0   034.98     -79.16832   -78.79904  +0.469
#    SI-Fam:PS-SFB0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFP0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFA2   100.28    -226.93267  -226.12582  +0.357
#    SI-Fam:PS-SFA1   128.48    -288.11642  -287.21829  +0.313
#    SI-Fam:PS-SFB2   132.81    -297.45731  -296.61973  +0.282
#    SI-Fam:PS-SFP2   133.33    -298.58556  -297.76223  +0.277
#    SI-Fam:PS-SFB1   155.22    -344.48435  -351.10163  -1.885
#    SI-Fam:PS-SFP1   156.53    -346.61199  -354.72640  -2.288
#    SI-Fam:PS-SDB0   043.18     +97.72405   +97.30107  +0.435
#    SI-Fam:PS-SDP0   043.18     +97.72405   +97.30107  +0.435
#    SI-Fam:PS-SDA0   053.72    +121.71106  +121.21016  +0.413
#    SI-Fam:PS-SDA2   059.29    +134.38117  +133.83979  +0.404
#    SI-Fam:PS-SDB2   081.57    +184.93776  +184.24588  +0.376
#    SI-Fam:PS-SDP2   081.55    +184.89068  +184.19894  +0.376
#    SI-Fam:PS-SDA3   093.40    +211.57649  +210.80689  +0.365
#    SI-Fam:PS-SDB1   094.58    +214.22775  +213.45115  +0.364
#    SI-Fam:PS-SDP1   095.00    +215.17967  +214.40061  +0.363
#    SI-Fam:PS-SDA1   109.04    +246.21948  +245.37664  +0.343
#    SI-Fam:PS-SDB3   116.56    +262.52284  +261.65091  +0.333
#    SI-Fam:PS-SDP3   116.79    +263.03286  +262.15994  +0.333

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
