# HEADER
# ======
# label             si-quadrupole-q14-qdb2-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     1 normal
# rescaling_factor  0.99958
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 -6.2348e-06 -2.2574e-06  +2.6997e-02 -4.4295e-05  -1.1642e-03 -2.9122e-03  -9.7315e-02 +7.1666e-02  -3.6187e-01 +1.3452e+00  +3.9758e+03 +7.1006e+01  -2.8493e+03 +1.6834e+04  +1.2658e+06 +7.4752e+05  -5.3305e+07 +1.1440e+08  +6.0666e+10 +2.9674e+09  +1.3268e+12 +6.1486e+10  +8.2498e+13 +1.3669e+14  +9.4548e+15 +8.0726e+15  -1.6612e+18 -1.7253e+17  +8.0790e+18 -2.0191e+19
+129.9966 -1.1247e-06 -1.4830e-05  +4.6309e+00 -3.1075e-03  +4.6792e-02 +4.3712e-02  +1.5476e+00 -1.4254e+00  +1.0132e+01 -4.2131e+01  -9.0860e+04 +1.0262e+04  +9.8636e+04 -8.4872e+04  -5.4124e+06 -6.3449e+06  +3.4046e+08 -2.0225e+07  +1.6589e+13 -2.6162e+11  -3.2630e+12 +3.9017e+11  +1.9626e+14 +5.5163e+14  -6.0851e+15 +7.4477e+15  -3.5090e+20 -1.6045e+17  -4.1620e+19 +1.5015e+19
+147.9959 -5.7601e-07 -1.7920e-05  +5.2338e+00 -3.5248e-03  +5.2627e-02 +5.4804e-02  +1.7561e+00 -1.6010e+00  +1.2101e+01 -5.1158e+01  -1.0644e+05 +1.2011e+04  +1.2329e+05 -1.1922e+05  -6.2268e+06 -5.9461e+06  +3.5973e+08 -2.9538e+07  +1.8729e+13 -3.0631e+11  -4.1376e+12 +9.7074e+11  +2.0190e+14 +5.9450e+14  +6.2917e+14 +4.6717e+15  -3.9660e+20 -8.7460e+16  -2.7126e+18 -6.9245e+19

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    Q14-039 Q14-050 Q14-038 Q14-020 Q14-045 Q14-047 Q14-064 Q14-046 Q14-032 Q14-030
#    Q14-065 Q14-056 Q14-049 Q14-054 Q14-063 Q14-004 Q14-015 Q14-066 Q14-060 Q14-052
# 5. rescaling factor based on new measurements compared to previous ones
#    === Q14 (044) ===
#        Family      Current[A] GL2020[T] GL2018[T] Diff[%]
#    SI-Fam:PS-QDA    062.65    -2.24969  -2.25214  -0.109
#    SI-Fam:PS-QDB1   077.66    -2.78785  -2.79068  -0.101
#    SI-Fam:PS-QDP1   077.66    -2.78785  -2.79068  -0.101
#    SI-Fam:PS-QDB2   133.61    -4.75715  -4.75916  -0.042
#    SI-Fam:PS-QDP2   133.61    -4.75715  -4.75916  -0.042

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
