# HEADER
# ======
# label             si-quadrupole-q20-q4-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     1 normal
# rescaling_factor  1.00052
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 +6.1306e-06 +1.8209e-06  -3.9434e-02 +1.2042e-05  +4.2792e-03 +1.9558e-03  +2.8123e-02 +5.0748e-02  +1.1399e+00 +3.4400e+00  -3.0278e+03 -9.9025e+00  -8.3535e+03 -1.3323e+04  -1.3140e+06 -9.3551e+05  +1.0214e+08 +8.4259e+06  -1.1936e+11 -1.7131e+09  -1.1076e+11 +2.5643e+10  +1.6321e+13 -9.8977e+12  +3.9306e+14 -4.9045e+15  +3.2326e+18 +1.4302e+17  +6.4987e+16 -6.7075e+18
+129.9959 +5.9485e-05 +2.8227e-05  -7.6208e+00 -9.5550e-04  -1.2269e-01 -9.3657e-02  -6.6136e+00 +1.7059e+00  -3.9629e+01 +1.0452e+02  +2.9844e+05 -2.6136e+04  -3.9920e+04 +1.3655e+05  +7.1542e+06 +1.6287e+07  +2.3113e+09 +2.0270e+08  -2.9657e+13 +5.2045e+11  +1.2645e+12 -2.5538e+12  -6.0607e+13 -1.1416e+15  -6.9443e+16 -1.1671e+16  +6.0121e+20 -4.3343e+18  +5.2661e+19 +8.1181e+19
+157.4801 +7.0442e-05 +3.1662e-05  -9.0790e+00 -1.1042e-03  -1.4341e-01 -1.1026e-01  -7.6301e+00 +2.0444e+00  -4.6199e+01 +1.2332e+02  +3.7133e+05 -3.2578e+04  -4.7382e+04 +1.5522e+05  +5.9715e+06 +1.8666e+07  +2.7291e+09 +1.4257e+08  -3.5268e+13 +6.2675e+11  +1.6469e+12 -3.6229e+12  -4.6378e+12 -1.3076e+15  -8.0541e+16 -1.5011e+16  +7.1626e+20 -5.7122e+18  +1.2620e+20 +1.1653e+20

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    Q20-081 Q20-097 Q20-051 Q20-168 Q20-166 Q20-043 Q20-080 Q20-047 Q20-163 Q20-048
#    Q20-103 Q20-116 Q20-089 Q20-077 Q20-093 Q20-063 Q20-100 Q20-054 Q20-156 Q20-169
#    Q20-057 Q20-058 Q20-090 Q20-150 Q20-144 Q20-085 Q20-052 Q20-069 Q20-123 Q20-084
#    Q20-143 Q20-171 Q20-053 Q20-157 Q20-078 Q20-146 Q20-060 Q20-160 Q20-173 Q20-083
# 5. rescaling factor based on new measurements compared to previous ones
#    === Q20 (055) ===
#        Family      Current[A] GL2020[T] GL2018[T] Diff[%]
#    SI-Fam:PS-Q1     095.22    -5.61769  -5.61929  -0.028
#    SI-Fam:PS-Q3     108.91    -6.41211  -6.41347  -0.021
#    SI-Fam:PS-QFA    121.00    -7.10513  -7.10563  -0.007
#    SI-Fam:PS-Q4     134.76    -7.88911  -7.88503  +0.052
#    SI-Fam:PS-Q2     148.96    -8.68959  -8.66639  +0.268

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
