# HEADER
# ======
# label             si-sextupole-s15-sda0-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     2 normal
# rescaling_factor  1.00373
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 -7.2494e-06 -2.6467e-06  -1.3737e-04 -3.1286e-04  +2.3651e+00 +2.0051e-04  -3.0297e-01 +7.2168e-01  -1.4339e+01 +2.0427e+01  -2.4418e+01 -2.7168e+02  +2.9222e+04 -4.7903e+04  +1.6559e+05 -2.7458e+06  +5.6097e+08 +1.5407e+08  +1.0810e+10 -1.4658e+10  -8.2124e+10 +4.0936e+10  +4.5791e+13 +4.0450e+14  -3.4266e+15 -1.4614e+16  -8.4179e+17 +5.7740e+16  +3.1353e+20 -5.3284e+19  
+129.9962 -2.5602e-05 -1.6824e-06  -6.5235e-03 -1.5683e-02  +2.9055e+02 -2.8756e-02  +4.2714e+00 +1.0698e+00  +4.3721e+02 +1.9298e+01  -9.4330e+03 -1.3095e+03  +1.4142e+06 -1.3445e+05  +1.2642e+07 +5.4913e+07  -1.7948e+11 +2.7984e+10  -8.7438e+10 -8.2758e+10  +1.5785e+12 -2.0284e+12  -2.8220e+14 -1.4696e+13  -9.0490e+16 +6.4519e+16  -5.5902e+18 -1.6239e+19  +4.0999e+22 -3.5548e+21  
+149.9979 -2.9375e-05 -2.3719e-06  -7.4011e-03 -1.7955e-02  +3.3103e+02 -3.4587e-02  +4.8920e+00 +1.7640e+00  +4.9028e+02 +3.1167e+01  -9.7923e+03 -1.4718e+03  +1.6000e+06 -1.5337e+05  +1.2929e+07 +6.8439e+07  -2.0556e+11 +3.2202e+10  -9.4880e+10 -7.5328e+10  +2.8876e+12 -4.5905e+12  -5.5681e+14 +1.0111e+14  -9.6796e+16 +6.8653e+16  -7.6227e+18 -1.9716e+19  +4.6749e+22 -4.0325e+21  
+167.7980 -3.4865e-05 -1.4930e-06  -8.1021e-03 -1.9623e-02  +3.6049e+02 -4.0815e-02  +5.0957e+00 +2.3153e+00  +4.8300e+02 +1.3009e+01  -1.0712e+04 -1.8671e+03  +1.7260e+06 -1.1690e+05  +1.1969e+07 +7.0557e+07  -2.2466e+11 +3.5468e+10  -8.5604e+10 -1.1218e+11  +2.8626e+12 -7.3101e+12  -5.1133e+14 +1.7537e+14  -1.3398e+17 +6.8392e+16  -7.0427e+18 -2.1342e+19  +5.0969e+22 -4.4044e+21  
+180.0000 -3.9789e-05 -7.8466e-08  -8.5391e-03 -2.0575e-02  +3.7712e+02 -4.5649e-02  +5.0457e+00 +2.6571e+00  +4.4834e+02 -1.5064e+01  -1.1670e+04 -2.2746e+03  +1.7908e+06 -6.2898e+04  +1.0649e+07 +6.6612e+07  -2.3552e+11 +3.7443e+10  -7.0595e+10 -1.6109e+11  +2.1980e+12 -9.4133e+12  -3.2244e+14 +2.1062e+14  -1.7665e+17 +6.6069e+16  -5.3457e+18 -2.1658e+19  +5.3373e+22 -4.6305e+21  

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    S15-004 S15-007 S15-270 S15-240 S15-283 S15-122 S15-184 S15-273 S15-118 S15-261 
# 5. last data point was extrapolated from a quadratic fitting using last 3 points.
# 6. rescaling factor based on new measurements compared to previous ones
#    === S15 ===
#    Family          Current[A] GL2020[T/m] GL2019[T/m] Diff[%]
#    SI-Fam:PS-SFA0   034.98     -79.16832   -78.79904  +0.469
#    SI-Fam:PS-SFB0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFP0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFA2   100.28    -226.93267  -226.12582  +0.357
#    SI-Fam:PS-SFA1   128.48    -288.11642  -287.21829  +0.313
#    SI-Fam:PS-SFB2   132.81    -297.45731  -296.61973  +0.282
#    SI-Fam:PS-SFP2   133.33    -298.58556  -297.76223  +0.277
#    SI-Fam:PS-SFB1   155.22    -344.48435  -351.10163  -1.885
#    SI-Fam:PS-SFP1   156.53    -346.61199  -354.72640  -2.288
#    SI-Fam:PS-SDB0   043.18     +97.72405   +97.30107  +0.435
#    SI-Fam:PS-SDP0   043.18     +97.72405   +97.30107  +0.435
#    SI-Fam:PS-SDA0   053.72    +121.71106  +121.21016  +0.413
#    SI-Fam:PS-SDA2   059.29    +134.38117  +133.83979  +0.404
#    SI-Fam:PS-SDB2   081.57    +184.93776  +184.24588  +0.376
#    SI-Fam:PS-SDP2   081.55    +184.89068  +184.19894  +0.376
#    SI-Fam:PS-SDA3   093.40    +211.57649  +210.80689  +0.365
#    SI-Fam:PS-SDB1   094.58    +214.22775  +213.45115  +0.364
#    SI-Fam:PS-SDP1   095.00    +215.17967  +214.40061  +0.363
#    SI-Fam:PS-SDA1   109.04    +246.21948  +245.37664  +0.343
#    SI-Fam:PS-SDB3   116.56    +262.52284  +261.65091  +0.333
#    SI-Fam:PS-SDP3   116.79    +263.03286  +262.15994  +0.333
# 7. average of +0.373% of sextupoles families was used

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
