# HEADER
# ======
# label             si-quadrupole-q14-qda-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     1 normal
# rescaling factor  1.002908
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 -6.7911e-06 -2.6061e-06  +2.6915e-02 -4.4357e-05  -8.0106e-04 -1.7682e-03  -8.8660e-02 +6.7863e-02  +2.7617e+00 +3.2242e+00  +4.0160e+03 +4.2876e+01  +4.6019e+03 +4.4641e+03  -6.7838e+04 -4.1725e+05  -6.4547e+06 -1.0970e+07  +5.9104e+10 -6.3323e+08  +3.2749e+11 +4.4484e+11  -1.4440e+13 +2.2060e+13  -3.2148e+14 +1.0817e+15  -1.3866e+18 -1.8141e+17  -4.9055e+18 +3.6237e+19  
+129.9963 -2.7423e-06 -2.4371e-05  +4.6365e+00 -3.7118e-03  +8.8421e-02 +4.8557e-02  +1.7893e+00 -1.0409e+00  +1.4486e+01 -2.6459e+01  -9.0333e+04 +7.7229e+03  +2.1135e+04 -5.6446e+04  -4.4538e+06 -1.3848e+07  -2.0268e+08 -4.6887e+08  +1.6618e+13 -1.4528e+11  -3.3958e+12 -1.0196e+12  +1.0779e+14 +8.2487e+14  +7.0613e+15 +3.0381e+16  -3.5243e+20 -3.9064e+18  -3.9048e+19 +1.9881e+19  
+147.9959 +3.7800e-07 -2.9168e-05  +5.2405e+00 -4.1996e-03  +1.0936e-01 +6.1628e-02  +2.0153e+00 -1.2044e+00  +2.0516e+01 -3.3529e+01  -1.0569e+05 +9.2210e+03  +2.3222e+04 -9.0778e+04  -4.0768e+06 -1.6492e+07  -1.5084e+08 -5.4155e+08  +1.8766e+13 -1.7126e+11  -3.8343e+12 -1.1388e+12  +1.3663e+14 +9.4421e+14  +5.3650e+15 +3.5282e+16  -3.9790e+20 -3.7168e+18  -6.0815e+19 +7.4266e+18  

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    Q14-081 Q14-077 Q14-028 Q14-059 Q14-062 Q14-058 Q14-040 Q14-034 Q14-068 Q14-018 

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
