# HEADER
# ======
# label             si-sextupole-s15-sda1-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     2 normal
# rescaling_factor  1.00373
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 -5.8687e-06 -3.3400e-06  +5.3140e-05 -2.1922e-04  +2.3580e+00 +2.8447e-03  +3.7952e-01 +3.8549e-01  +2.4562e+00 +1.2443e+01  -7.4155e+01 -9.5015e+01  +2.7391e+04 -1.9436e+04  +1.8546e+06 -4.9736e+05  +5.6192e+08 +3.4991e+07  -3.1513e+09 -2.9704e+09  -1.7294e+11 -7.3213e+11  -1.3072e+13 +9.3955e+13  -1.0360e+15 +2.5860e+14  -1.5600e+17 -1.0997e+17  +3.5568e+20 +5.1313e+18  
+129.9961 -1.9932e-05 -4.8177e-06  -5.8230e-03 -1.4710e-02  +2.9023e+02 +1.3214e-01  +5.6583e+00 +5.9475e-01  +5.1043e+02 +8.1839e+00  -3.3710e+03 -1.2190e+03  +1.3795e+06 -1.7138e+05  +7.7997e+06 +4.1734e+07  -1.9229e+11 +2.4737e+10  +2.7744e+10 +2.9796e+10  +2.0929e+12 -7.9982e+11  +8.7697e+13 -2.2540e+13  -8.0042e+16 +5.9418e+16  -3.1217e+18 -1.5549e+19  +4.3573e+22 -1.6570e+20  
+149.9974 -2.4551e-05 -5.3957e-06  -6.5805e-03 -1.6675e-02  +3.3060e+02 +1.2374e-01  +6.4146e+00 +6.9019e-01  +5.6003e+02 +8.7565e+00  -3.2279e+03 -2.9575e+03  +1.5089e+06 -1.9928e+05  +9.7044e+06 +4.5960e+07  -2.1961e+11 +3.2482e+10  +7.2441e+10 -5.0391e+09  +3.2559e+11 -2.1327e+12  -2.2356e+14 +2.6047e+14  -6.8531e+16 +7.7608e+16  -2.1715e+18 -1.6545e+19  +4.9408e+22 -3.3387e+18  
+167.7983 -3.0067e-05 -5.5537e-06  -7.3491e-03 -1.8215e-02  +3.5987e+02 +1.1784e-01  +6.2325e+00 +1.2704e+00  +5.6004e+02 +4.1606e+00  -2.6031e+03 -2.7361e+03  +1.5532e+06 -1.7260e+05  +1.3757e+07 +5.6350e+07  -2.3975e+11 +3.6847e+10  +4.8644e+10 +1.6834e+10  +2.9815e+12 -1.6560e+12  -6.3988e+14 +3.7237e+14  -6.8499e+16 +3.4635e+16  -4.3725e+18 -2.0628e+19  +5.4304e+22 +4.1957e+20  
+180.0000 -3.4612e-05 -5.4682e-06  -7.9272e-03 -1.9157e-02  +3.7633e+02 +1.1467e-01  +5.6424e+00 +1.9374e+00  +5.3604e+02 -1.7670e+00  -1.9041e+03 -1.6221e+03  +1.5449e+06 -1.2629e+05  +1.7817e+07 +6.7078e+07  -2.5130e+11 +3.8464e+10  -2.2553e+09 +6.0592e+10  +7.1026e+12 -4.2470e+11  -1.0010e+15 +3.7291e+14  -7.4033e+16 -2.7008e+16  -7.5387e+18 -2.5165e+19  +5.7500e+22 +8.6092e+20  

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    S15-138 S15-120 S15-195 S15-212 S15-207 S15-164 S15-100 S15-141 S15-223 S15-112 
# 5. last data point was extrapolated from a quadratic fitting using last 3 points.
# 6. rescaling factor based on new measurements compared to previous ones
#    === S15 ===
#    Family          Current[A] GL2020[T/m] GL2019[T/m] Diff[%]
#    SI-Fam:PS-SFA0   034.98     -79.16832   -78.79904  +0.469
#    SI-Fam:PS-SFB0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFP0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFA2   100.28    -226.93267  -226.12582  +0.357
#    SI-Fam:PS-SFA1   128.48    -288.11642  -287.21829  +0.313
#    SI-Fam:PS-SFB2   132.81    -297.45731  -296.61973  +0.282
#    SI-Fam:PS-SFP2   133.33    -298.58556  -297.76223  +0.277
#    SI-Fam:PS-SFB1   155.22    -344.48435  -351.10163  -1.885
#    SI-Fam:PS-SFP1   156.53    -346.61199  -354.72640  -2.288
#    SI-Fam:PS-SDB0   043.18     +97.72405   +97.30107  +0.435
#    SI-Fam:PS-SDP0   043.18     +97.72405   +97.30107  +0.435
#    SI-Fam:PS-SDA0   053.72    +121.71106  +121.21016  +0.413
#    SI-Fam:PS-SDA2   059.29    +134.38117  +133.83979  +0.404
#    SI-Fam:PS-SDB2   081.57    +184.93776  +184.24588  +0.376
#    SI-Fam:PS-SDP2   081.55    +184.89068  +184.19894  +0.376
#    SI-Fam:PS-SDA3   093.40    +211.57649  +210.80689  +0.365
#    SI-Fam:PS-SDB1   094.58    +214.22775  +213.45115  +0.364
#    SI-Fam:PS-SDP1   095.00    +215.17967  +214.40061  +0.363
#    SI-Fam:PS-SDA1   109.04    +246.21948  +245.37664  +0.343
#    SI-Fam:PS-SDB3   116.56    +262.52284  +261.65091  +0.333
#    SI-Fam:PS-SDP3   116.79    +263.03286  +262.15994  +0.333
# 7. average of +0.373% of sextupoles families was used

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
