# HEADER
# ======
# label             si-quadrupole-q14-qdp2-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     1 normal
# rescaling_factor  0.99899
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 -6.1677e-06 -3.0193e-06  +2.7166e-02 -4.3489e-05  +1.4722e-04 -7.1376e-05  -7.6764e-02 +7.9524e-02  +2.1743e+00 -6.6732e-01  +4.0807e+03 -8.4510e+01  -2.7908e+04 +1.6522e+04  -5.8836e+05 +1.4919e+06  -1.3420e+08 +5.2381e+07  +7.2568e+10 +2.5789e+09  -1.4190e+12 +3.1413e+11  +3.1562e+13 +9.9669e+13  -7.3701e+15 -7.3401e+14  -1.7876e+18 -1.2791e+16  -6.7028e+19 +1.3678e+19
+129.9964 +8.2657e-06 -2.0793e-05  +4.6333e+00 -3.8879e-03  +9.9786e-02 +2.7236e-02  +2.3819e+00 -1.0645e+00  +4.5976e+01 -1.2145e+01  -9.0708e+04 +6.3208e+03  +1.1472e+05 +1.0915e+04  -5.4941e+06 -7.2200e+06  -2.3282e+08 -2.6454e+08  +1.6614e+13 -1.1213e+11  -4.4616e+12 -1.5788e+12  +3.8900e+14 +5.4307e+14  +8.5947e+15 +8.6324e+15  -3.5126e+20 -4.5521e+18  +2.3553e+19 +4.5416e+19
+147.9956 +1.1180e-05 -2.3377e-05  +5.2365e+00 -4.3963e-03  +1.1598e-01 +3.2458e-02  +2.7071e+00 -1.2158e+00  +4.9989e+01 -1.5017e+01  -1.0653e+05 +7.2085e+03  +1.2010e+05 +7.2578e+03  -6.4271e+06 -8.6386e+06  -3.3812e+08 -2.6951e+08  +1.8755e+13 -1.3148e+11  -4.8933e+12 -2.0056e+12  +3.5872e+14 +6.2055e+14  +7.2481e+15 +1.4763e+16  -3.9720e+20 -4.4262e+18  +2.1733e+19 +8.1224e+19

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    Q14-012 Q14-005 Q14-078 Q14-071 Q14-007 Q14-006 Q14-073 Q14-016 Q14-037 Q14-002
# 5. rescaling factor based on new measurements compared to previous ones
#    === Q14 (044) ===
#        Family      Current[A] GL2020[T] GL2018[T] Diff[%]
#    SI-Fam:PS-QDA    062.65    -2.24969  -2.25214  -0.109
#    SI-Fam:PS-QDB1   077.66    -2.78785  -2.79068  -0.101
#    SI-Fam:PS-QDP1   077.66    -2.78785  -2.79068  -0.101
#    SI-Fam:PS-QDB2   133.61    -4.75715  -4.75916  -0.042
#    SI-Fam:PS-QDP2   133.61    -4.75715  -4.75916  -0.042

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
