# HEADER
# ======
# label             si-sextupole-s15-sdb2-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     2 normal
# rescaling_factor  1.003760
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 -5.1876e-06 -2.4772e-06  -7.7177e-05 -8.9791e-05  +2.3438e+00 +3.3418e-03  -2.6868e-01 -1.5766e-01  +3.0252e+00 +8.3815e-01  -8.4476e+01 -5.1275e+01  +1.3959e+04 +9.0990e+03  +1.5218e+05 +7.5453e+04  +4.2809e+08 +7.7715e+07  +3.2053e+09 +2.5080e+09  -9.4769e+10 -5.5249e+11  -3.1329e+13 +1.2409e+14  -2.6673e+14 +1.7550e+15  -2.4802e+17 -2.1495e+17  +3.2976e+20 +9.6215e+18  
+129.9961 -8.6416e-06 +4.4331e-06  -7.7521e-03 -1.4112e-02  +2.9016e+02 +1.3601e-01  +5.8796e+00 +2.6115e-01  +4.3814e+02 -8.3376e+01  -7.4041e+03 -1.5728e+03  +9.2165e+05 -1.2088e+05  +2.9802e+07 +3.1483e+07  -1.8657e+11 +4.0844e+10  +2.0656e+10 -9.3754e+09  +2.8594e+12 -7.0490e+12  -2.3448e+14 +3.6061e+13  -4.0960e+16 +6.1580e+16  -9.3665e+18 -1.3190e+19  +4.3335e+22 -9.8759e+20  
+149.9972 -1.0994e-05 +3.6456e-06  -8.8895e-03 -1.6044e-02  +3.3057e+02 +1.1612e-01  +6.1364e+00 +3.8306e-01  +4.8661e+02 -7.2896e+01  -8.0462e+03 -1.5744e+03  +1.0765e+06 -1.2941e+05  +2.6095e+07 +3.0904e+07  -2.1381e+11 +5.1037e+10  +5.4559e+10 +4.0573e+10  +2.1071e+12 -9.4007e+12  -3.3729e+13 -4.2854e+13  -5.8661e+16 +3.1951e+16  -9.0441e+18 -1.2561e+19  +4.9405e+22 -4.7013e+20  
+167.7982 -1.5260e-05 +3.0679e-06  -9.8685e-03 -1.7330e-02  +3.5994e+02 +9.9422e-02  +5.5996e+00 +2.5198e-01  +4.8754e+02 -6.9396e+01  -7.8670e+03 -2.3863e+03  +1.1521e+06 -1.3289e+05  +2.5795e+07 +3.3855e+07  -2.3289e+11 +5.9389e+10  +2.0447e+10 -3.3403e+10  +2.5813e+12 -8.0138e+12  -1.5571e+14 +4.0437e+14  -6.2292e+16 +4.6767e+16  -1.1171e+19 -1.3027e+19  +5.3967e+22 -3.5688e+20  
+180.0000 -1.9365e-05 +2.7389e-06  -1.0521e-02 -1.7976e-02  +3.7648e+02 +8.8522e-02  +4.8152e+00 +3.1788e-02  +4.6523e+02 -7.0168e+01  -7.3358e+03 -3.3836e+03  +1.1701e+06 -1.3303e+05  +2.7221e+07 +3.7763e+07  -2.4315e+11 +6.4723e+10  -3.7908e+10 -1.4854e+11  +3.5286e+12 -5.1699e+12  -4.0289e+14 +9.9244e+14  -5.8187e+16 +7.9329e+16  -1.3942e+19 -1.3904e+19  +5.6636e+22 -4.6820e+20  

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    S15-197 S15-247 S15-218 S15-099 S15-211 S15-006 S15-235 S15-130 S15-226 S15-254 
#    S15-162 S15-206 S15-096 S15-224 S15-140 S15-225 S15-129 S15-027 S15-222 S15-203 
# 5. last data point was extrapolated from a quadratic fitting using last 3 points.
# 6. rescaling factor based on new measurements compared to previous ones
#    === S15 ===
#    Family          Current[A] GL2020[T/m] GL2019[T/m] Diff[%]
#    SI-Fam:PS-SFA0   034.98     -79.16832   -78.79904  +0.469
#    SI-Fam:PS-SFB0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFP0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFA2   100.28    -226.93267  -226.12582  +0.357
#    SI-Fam:PS-SFA1   128.48    -288.11642  -287.21829  +0.313
#    SI-Fam:PS-SFB2   132.81    -297.45731  -296.61973  +0.282
#    SI-Fam:PS-SFP2   133.33    -298.58556  -297.76223  +0.277
#    SI-Fam:PS-SFB1   155.22    -344.48435  -351.10163  -1.885
#    SI-Fam:PS-SFP1   156.53    -346.61199  -354.72640  -2.288
#    SI-Fam:PS-SDB0   043.18     +97.72405   +97.30107  +0.435
#    SI-Fam:PS-SDP0   043.18     +97.72405   +97.30107  +0.435
#    SI-Fam:PS-SDA0   053.72    +121.71106  +121.21016  +0.413
#    SI-Fam:PS-SDA2   059.29    +134.38117  +133.83979  +0.404
#    SI-Fam:PS-SDB2   081.57    +184.93776  +184.24588  +0.376
#    SI-Fam:PS-SDP2   081.55    +184.89068  +184.19894  +0.376
#    SI-Fam:PS-SDA3   093.40    +211.57649  +210.80689  +0.365
#    SI-Fam:PS-SDB1   094.58    +214.22775  +213.45115  +0.364
#    SI-Fam:PS-SDP1   095.00    +215.17967  +214.40061  +0.363
#    SI-Fam:PS-SDA1   109.04    +246.21948  +245.37664  +0.343
#    SI-Fam:PS-SDB3   116.56    +262.52284  +261.65091  +0.333
#    SI-Fam:PS-SDP3   116.79    +263.03286  +262.15994  +0.333

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
