# HEADER
# ======
# label             si-quadrupole-q14-qdp1-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 
# main_harmonic     1 normal
# rescaling factor  1.002908
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13  

# EXCITATION DATA
# ===============
+000.0000 -5.9704e-06 -3.3348e-06  +2.6940e-02 -3.9617e-05  +1.3552e-03 +1.4045e-03  -9.0938e-02 +1.2218e-01  +3.3548e+00 +1.1581e-01  +3.5465e+03 -5.3703e+01  -3.6628e+04 -7.6937e+03  -6.5800e+05 +8.5790e+05  -5.4667e+07 -4.8312e+07  +6.4802e+10 +7.9782e+09  -1.0899e+12 -1.2598e+12  -4.7772e+13 +4.4969e+13  +8.2772e+15 -4.6235e+15  -6.9798e+17 +5.1564e+17  -2.0267e+19 -3.3272e+19  
+129.9968 -2.0813e-05 -1.4226e-05  +4.6330e+00 -3.5972e-03  +5.7770e-02 +3.8576e-02  +1.6768e+00 -1.0478e+00  -1.1208e+01 -1.4833e+01  -9.0453e+04 +7.5336e+03  +5.8401e+04 -8.5082e+04  -3.0594e+06 -5.0271e+06  -8.2337e+06 -2.3096e+08  +1.6604e+13 -1.5783e+11  -2.2752e+12 +1.0338e+12  +3.6503e+14 +6.8204e+14  -4.3360e+14 +1.4192e+16  -3.5048e+20 -3.1303e+18  -7.7008e+19 -4.6520e+19  
+147.9961 -2.4495e-05 -1.8590e-05  +5.2365e+00 -4.0731e-03  +5.9422e-02 +5.3666e-02  +1.8999e+00 -1.2069e+00  -1.3750e+01 -2.6798e+01  -1.0627e+05 +8.8036e+03  +7.5593e+04 -1.3569e+05  -4.4384e+06 -6.6657e+06  +1.1307e+08 -1.3288e+08  +1.8739e+13 -1.7568e+11  -2.5809e+12 +1.0173e+12  +3.2038e+14 +7.2226e+14  +3.7076e+15 +8.6264e+15  -3.9615e+20 -3.6880e+18  -7.6794e+19 -1.0059e+20  

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    Q14-069 Q14-072 Q14-019 Q14-031 Q14-041 Q14-070 Q14-051 Q14-042 Q14-029 Q14-061 

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
