# HEADER
# ======
# label             si-sextupole-s15-sfb2-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     2 normal
# rescaling factor  1.00282
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 +6.5228e-06 +1.9392e-06  -1.0384e-05 +2.0184e-04  -2.3527e+00 -4.0985e-04  -3.1999e-01 -3.2037e-01  +7.7087e+00 +1.9936e+00  +2.4816e+01 +2.3918e+02  +5.8290e+03 -1.4983e+04  -9.5806e+05 +1.6532e+06  -6.5607e+08 -2.4636e+08  +1.6026e+09 +7.3934e+09  -1.7327e+11 +7.0195e+11  +2.1718e+13 -9.4974e+13  +4.0252e+15 -1.0382e+15  -3.0879e+17 +3.1550e+17  -3.2706e+20 +1.3771e+19
+129.9962 +1.4495e-05 +3.4267e-06  +8.9788e-03 +1.6151e-02  -2.9021e+02 +7.0334e-02  -1.8889e+00 -2.5838e+00  -4.9154e+02 -1.9822e+02  +2.8623e+03 +2.4433e+03  -1.3242e+06 +3.5809e+05  -2.1072e+07 -3.5284e+07  +1.8008e+11 -3.7224e+10  +3.9643e+10 +3.9131e+10  -7.9663e+11 +2.8035e+12  +1.4311e+14 +1.5884e+13  +7.3723e+16 -3.1910e+16  +1.0209e+19 +1.2910e+19  -4.1466e+22 +3.6255e+21
+149.9977 +1.7500e-05 +3.6131e-06  +1.0003e-02 +1.8416e-02  -3.3060e+02 +9.0802e-02  -2.8296e+00 -3.2071e+00  -5.4524e+02 -2.2126e+02  +2.9622e+03 +2.8807e+03  -1.5415e+06 +4.0861e+05  -2.4717e+07 -4.2214e+07  +2.0622e+11 -4.4747e+10  +3.8195e+10 +3.6622e+10  -2.6029e+12 +1.6259e+12  -5.3142e+13 -1.2839e+14  +9.4009e+16 -4.4633e+16  +1.1628e+19 +1.4259e+19  -4.7312e+22 +4.1706e+21
+167.7982 +2.2638e-05 +2.6299e-06  +1.0794e-02 +2.0179e-02  -3.5983e+02 +1.0839e-01  -3.3227e+00 -4.0766e+00  -5.4668e+02 -2.2389e+02  +3.2075e+03 +2.9940e+03  -1.6347e+06 +4.6335e+05  -2.6724e+07 -4.4115e+07  +2.2470e+11 -5.0188e+10  +2.3636e+10 +2.5706e+10  -2.4385e+12 +3.3957e+12  +2.0436e+13 -7.1571e+13  +1.2069e+17 -4.1932e+16  +1.2344e+19 +1.5726e+19  -5.1584e+22 +4.4188e+21
+180.0000 +2.7499e-05 +1.3308e-06  +1.1271e-02 +2.1249e-02  -3.7620e+02 +1.2010e-01  -3.4735e+00 -4.8438e+00  -5.2244e+02 -2.1597e+02  +3.4606e+03 +2.9216e+03  -1.6439e+06 +5.0620e+05  -2.7428e+07 -4.3096e+07  +2.3477e+11 -5.3234e+10  +6.4350e+09 +1.3500e+10  -1.3619e+12 +6.1419e+12  +2.0592e+14 +6.8137e+13  +1.4367e+17 -3.2452e+16  +1.2536e+19 +1.6876e+19  -5.4005e+22 +4.4600e+21

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    S15-121 S15-190 S15-192 S15-087 S15-210 S15-231 S15-158 S15-115 S15-008 S15-160
#    S15-019 S15-267 S15-078 S15-030 S15-090 S15-116 S15-018 S15-097 S15-179 S15-185
# 5. last data point was extrapolated from a quadratic fitting using last 3 points.
# 6. rescaling factor based on new measurements compared to previous ones
#    === S15 ===
#    Family          Current[A] GL2020[T/m] GL2019[T/m] Diff[%]
#    SI-Fam:PS-SFA0   034.98     -79.16832   -78.79904  +0.469
#    SI-Fam:PS-SFB0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFP0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFA2   100.28    -226.93267  -226.12582  +0.357
#    SI-Fam:PS-SFA1   128.48    -288.11642  -287.21829  +0.313
#    SI-Fam:PS-SFB2   132.81    -297.45731  -296.61973  +0.282
#    SI-Fam:PS-SFP2   133.33    -298.58556  -297.76223  +0.277
#    SI-Fam:PS-SFB1   155.22    -344.48435  -351.10163  -1.885
#    SI-Fam:PS-SFP1   156.53    -346.61199  -354.72640  -2.288
#    SI-Fam:PS-SDB0   043.18     -97.72405   -97.30107  +0.435
#    SI-Fam:PS-SDP0   043.18     -97.72405   -97.30107  +0.435
#    SI-Fam:PS-SDA0   053.72    -121.71106  -121.21016  +0.413
#    SI-Fam:PS-SDA2   059.29    -134.38117  -133.83979  +0.404
#    SI-Fam:PS-SDB2   081.57    -184.93776  -184.24588  +0.376
#    SI-Fam:PS-SDP2   081.55    -184.89068  -184.19894  +0.376
#    SI-Fam:PS-SDA3   093.40    -211.57649  -210.80689  +0.365
#    SI-Fam:PS-SDB1   094.58    -214.22775  -213.45115  +0.364
#    SI-Fam:PS-SDP1   095.00    -215.17967  -214.40061  +0.363
#    SI-Fam:PS-SDA1   109.04    -246.21948  -245.37664  +0.343
#    SI-Fam:PS-SDB3   116.56    -262.52284  -261.65091  +0.333
#    SI-Fam:PS-SDP3   116.79    -263.03286  -262.15994  +0.333

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
