# HEADER
# ======
# label             si-sextupole-s15-sdp3-fam
# harmonics         0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
# main_harmonic     2 normal
# rescaling factor  1.003330
# units             Ampere  T*m T*m  T T  T/m T/m  T/m^2 T/m^2  T/m^3 T/m^3  T/m^4 T/m^4  T/m^5 T/m^5  T/m^6 T/m^6  T/m^7 T/m^7  T/m^8 T/m^8  T/m^9 T/m^9  T/m^10 T/m^10  T/m^11 T/m^11  T/m^12 T/m^12  T/m^13 T/m^13

# EXCITATION DATA
# ===============
+000.0000 +5.2063e-06 +5.2106e-07  -1.1051e-04 +7.2943e-05  -2.3488e+00 -2.8228e-03  -7.3337e-01 +1.5882e-01  -2.2720e+01 +2.7600e+01  -6.9784e+01 -3.3111e+01  -1.2101e+04 -2.2166e+04  -1.4652e+06 -2.2689e+05  -6.6257e+08 -3.1341e+07  +1.0861e+10 -6.2577e+09  +4.2702e+11 -3.1805e+11  +3.0378e+13 -1.1716e+14  +2.0492e+15 -6.0482e+15  +1.2303e+17 -1.0376e+17  -3.4892e+20 +1.4889e+18
+129.9960 +1.8462e-05 +1.8884e-06  +6.5917e-03 +1.2795e-02  -2.9050e+02 -1.6761e-01  -4.1436e+00 +2.3528e-01  -2.3995e+02 -8.4266e+01  +4.8875e+03 +7.7864e+02  -6.4789e+05 +4.0810e+05  -2.0251e+06 -2.7813e+07  +1.8800e+11 -2.5215e+10  +5.1537e+10 -5.8347e+10  -2.3703e+12 +8.9713e+12  -1.7809e+14 +2.5286e+14  +1.2316e+16 -8.0405e+16  +3.2012e+18 +1.2008e+19  -4.3575e+22 +1.3303e+21
+149.9971 +2.0373e-05 +2.0094e-06  +7.5981e-03 +1.4708e-02  -3.3096e+02 -1.7521e-01  -4.3191e+00 -4.0381e-01  -2.8255e+02 -1.0049e+02  +5.0100e+03 +2.2832e+03  -6.8810e+05 +4.3906e+05  -4.1521e+06 -2.8261e+07  +2.1523e+11 -3.0741e+10  +1.2178e+10 -6.8516e+10  -1.0035e+12 +9.1007e+12  -1.7399e+14 -1.1894e+14  +6.7356e+15 -9.1724e+16  +4.4360e+18 +1.3828e+19  -5.0111e+22 +1.2698e+21
+167.7978 +1.9752e-05 -8.6659e-07  +8.2034e-03 +1.6350e-02  -3.6015e+02 -1.7569e-01  -4.7289e+00 -1.9492e+00  -3.4961e+02 -6.2050e+01  +6.2011e+03 +1.8634e+03  -7.9394e+05 +4.7447e+05  -4.7970e+06 -3.1493e+07  +2.3528e+11 -3.5061e+10  +1.8040e+10 -3.5279e+10  +3.4115e+11 +4.7179e+12  +1.4354e+14 -1.3786e+14  +1.2881e+16 -9.4075e+16  +5.2760e+18 +1.3764e+19  -5.4720e+22 +1.2748e+21
+180.0000 +1.8063e-05 -4.4614e-06  +8.4605e-03 +1.7444e-02  -3.7645e+02 -1.7260e-01  -5.1478e+00 -3.5398e+00  -4.1143e+02 -6.9344e+00  +7.6063e+03 +6.1864e+02  -9.0461e+05 +5.0303e+05  -4.5600e+06 -3.5249e+07  +2.4677e+11 -3.7698e+10  +4.4304e+10 +1.0512e+10  +1.3326e+12 -7.3351e+11  +5.3198e+14 +1.8888e+13  +2.3139e+16 -9.1484e+16  +5.7108e+18 +1.2805e+19  -5.7222e+22 +1.3102e+21

# COMMENTS
# ========
# 1. generated automatically with "excdata.py"
# 2. data taken from rotcoil measurements
# 3. data for zero current is extrapolated from data points with lowest measured currents
# 4. average excitation curves for magnets:
#    S15-042 S15-095 S15-055 S15-094 S15-011 S15-262 S15-136 S15-284 S15-137 S15-285
# 5. last data point was extrapolated from a quadratic fitting using last 3 points.
# 6. rescaling factor based on new measurements compared to previous ones
#    === S15 ===
#    Family          Current[A] GL2020[T/m] GL2019[T/m] Diff[%]
#    SI-Fam:PS-SFA0   034.98     -79.16832   -78.79904  +0.469
#    SI-Fam:PS-SFB0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFP0   049.05    -111.06953  -110.60355  +0.421
#    SI-Fam:PS-SFA2   100.28    -226.93267  -226.12582  +0.357
#    SI-Fam:PS-SFA1   128.48    -288.11642  -287.21829  +0.313
#    SI-Fam:PS-SFB2   132.81    -297.45731  -296.61973  +0.282
#    SI-Fam:PS-SFP2   133.33    -298.58556  -297.76223  +0.277
#    SI-Fam:PS-SFB1   155.22    -344.48435  -351.10163  -1.885
#    SI-Fam:PS-SFP1   156.53    -346.61199  -354.72640  -2.288
#    SI-Fam:PS-SDB0   043.18     -97.72405   -97.30107  +0.435
#    SI-Fam:PS-SDP0   043.18     -97.72405   -97.30107  +0.435
#    SI-Fam:PS-SDA0   053.72    -121.71106  -121.21016  +0.413
#    SI-Fam:PS-SDA2   059.29    -134.38117  -133.83979  +0.404
#    SI-Fam:PS-SDB2   081.57    -184.93776  -184.24588  +0.376
#    SI-Fam:PS-SDP2   081.55    -184.89068  -184.19894  +0.376
#    SI-Fam:PS-SDA3   093.40    -211.57649  -210.80689  +0.365
#    SI-Fam:PS-SDB1   094.58    -214.22775  -213.45115  +0.364
#    SI-Fam:PS-SDP1   095.00    -215.17967  -214.40061  +0.363
#    SI-Fam:PS-SDA1   109.04    -246.21948  -245.37664  +0.343
#    SI-Fam:PS-SDB3   116.56    -262.52284  -261.65091  +0.333
#    SI-Fam:PS-SDP3   116.79    -263.03286  -262.15994  +0.333

# POLARITY TABLE
# ==============
#
# Magnet function         | IntStrength(1) | IntField(2) | ConvSign(3) | Current(4)
# ------------------------|----------------|-------------|-------------|-----------
# dipole                  | Angle > 0      | BYL  < 0    | -1.0        | I > 0
# corrector-horizontal    | HKick > 0      | BYL  > 0    | +1.0        | I > 0
# corrector-vertical      | VKick > 0      | BXL  < 0    | -1.0        | I > 0
# quadrupole (focusing)   | KL    > 0      | D1NL < 0    | -1.0        | I > 0
# quadrupole (defocusing) | KL    < 0      | D1NL > 0    | -1.0        | I > 0
# quadrupole (skew)       | KL    < 0      | D1SL > 0    | -1.0        | I > 0
# sextupole  (focusing)   | SL    > 0      | D2NL < 0    | -1.0        | I > 0
# sextupole  (defocusing) | SL    < 0      | D2NL > 0    | -1.0        | I > 0
#
# Defs:
# ----
# BYL   := \int{dz By|_{x=y=0}}.
# BXL   := \int{dz Bx|_{x=y=0}}.
# D1NL  := \int{dz \frac{dBy}{dx}_{x=y=0}}
# D2NL  := (1/2!) \int{dz \frac{d^2By}{dx^2}_{x=y=0}}
# D1SL  := \int{dz \frac{dBx}{dx}_{x=y=0}}
# Brho  := magnetic rigidity.
# Angle := ConvSign * BYL / abs(Brho)
# HKick := ConvSign * BYL / abs(Brho)
# VKick := ConvSign * BXL / abs(Brho)
# KL    := ConvSign * D1NL / abs(Brho)
# KL    := ConvSign * D1SL / abs(Brho)
# SL    := ConvSign * D2NL / abs(Brho)
#
# Obs:
# ---
# (1) Parameter definition.
#     IntStrength values correspond to integrated PolynomA and PolynomB parameters
#     of usual beam tracking codes, with the exception that VKick has its sign
#     reversed with respecto to its corresponding value in PolynomA.
# (2) Sirius coordinate system and Lorentz force.
# (3) Conversion sign for IntField <-> IntStrength
# (4) Convention of magnet excitation polarity, so that when I > 0 the strength
#     of the magnet has the expected conventional sign.

# STATIC DATA FILE FORMAT
# =======================
#
# These static data files should comply with the following formatting rules:
# 1. If the first alphanumeric character of the line is not the pound sign
#    then the lines is a comment.
# 2. If the first alphanumeric character is "#" then if
#    a) it is followed by "[<parameter>] <value>" a parameter names <parameter>
#       is define with value <value>. if the string <value> has spaces in it
#       it is split as a list of strings.
#    b) otherwise the line is ignored as a comment line.
